"","Parkinglot_ID","Location_code","Address","Parkinglot_num","Parkinglot_num_matiz","log","lat","fee","Parkinglot_Total"
"7993",5121142,10300,"서울특별시 광진구 구의동 593-25",0,0,127.091251,37.535322,"무료",0
"7994",5019879,10300,"서울특별시 광진구 구의동 593-23",0,0,127.091547,37.535443,"무료",0
"7995",5019876,10300,"서울특별시 광진구 구의동 593-8",0,0,127.091339,37.535576,"무료",0
"7996",5128422,10300,"서울특별시 광진구 구의동 593-12",5,0,127.091488,37.535349,"무료",5
"7997",5111597,10300,"서울특별시 광진구 구의동 217-33",9,0,127.093104,37.538154,"무료",9
"7998",5021515,10300,"서울특별시 광진구 구의동 217-32",5,0,127.093015,37.538241,"무료",5
"7999",5020696,10300,"서울특별시 광진구 구의동 216-3 유진빌딩",0,0,127.092746,37.538188,"무료",0
"8000",5066963,10300,"서울특별시 광진구 구의동 216-1 테크노빌딩",0,0,127.092653,37.538324,"무료",0
"8001",5069275,10300,"서울특별시 광진구 구의동 217-35",3,0,127.093253,37.53799,"무료",3
"8002",5020664,10300,"서울특별시 광진구 구의동 657 성동강변파크빌",98,0,127.092819,37.537818,"무료",98
"8003",5021803,10300,"서울특별시 광진구 구의동 217-21",4,0,127.093343,37.538365,"무료",4
"8004",5021066,10300,"서울특별시 광진구 구의동 217-29 진연빌",4,0,127.09305,37.538387,"무료",4
"8005",5023858,10300,"서울특별시 광진구 구의동 217-20",0,0,127.0932,37.538476,"무료",0
"8006",5021065,10300,"서울특별시 광진구 구의동 217-30",4,0,127.092955,37.538493,"무료",4
"8007",5021068,10300,"서울특별시 광진구 구의동 217-17",0,0,127.093095,37.538577,"무료",0
"8008",5069744,10300,"서울특별시 광진구 구의동 217-26 윤성빌",2,0,127.093326,37.5381,"무료",2
"8009",5021802,10300,"서울특별시 광진구 구의동 217-27",3,0,127.093249,37.538202,"무료",3
"8010",5124051,10300,"서울특별시 광진구 구의동 217-22",7,0,127.093392,37.538265,"무료",7
"8011",5021804,10300,"서울특별시 광진구 구의동 217-28",5,0,127.093156,37.538286,"무료",5
"8012",5022304,10300,"서울특별시 광진구 구의동 596-3 강변파크빌",19,0,127.090881,37.534063,"무료",19
"8013",5066286,10300,"서울특별시 광진구 구의동 593-19",10,0,127.091171,37.534483,"무료",10
"8015",5024150,10300,"서울특별시 광진구 구의동 596 힐 카운티 7",97,7,127.090664,37.533894,"무료",104
"8016",5022301,10300,"서울특별시 광진구 구의동 596-1 힐하우스",20,0,127.090398,37.533652,"무료",20
"8017",5022265,10300,"서울특별시 광진구 구의동 592-14",2,0,127.090758,37.534941,"무료",2
"8018",5066875,10300,"서울특별시 광진구 구의동 592-24",2,0,127.090797,37.534762,"무료",2
"8019",5022264,10300,"서울특별시 광진구 구의동 592-6 금성빌라",0,0,127.090491,37.535088,"무료",0
"8020",4995038,10300,"서울특별시 광진구 구의동 592-7",0,0,127.090665,37.535106,"무료",0
"8021",5022263,10300,"서울특별시 광진구 구의동 593-16",0,0,127.091089,37.534785,"무료",0
"8022",5022267,10300,"서울특별시 광진구 구의동 593-4",6,0,127.090854,37.53532,"무료",6
"8023",5022654,10300,"서울특별시 광진구 구의동 591-17",0,0,127.09055,37.535485,"무료",0
"8024",5021910,10300,"서울특별시 광진구 구의동 591-18 한가람빌",7,0,127.090659,37.535555,"무료",7
"8025",5066507,10300,"서울특별시 광진구 구의동 593-3 노블타운",10,0,127.090893,37.535472,"무료",10
"8026",5113290,10300,"서울특별시 광진구 구의동 591-19 카사벨라빌",10,0,127.090652,37.535742,"무료",10
"8027",5126840,10300,"서울특별시 광진구 구의동 593-1",0,0,127.090974,37.535718,"무료",0
"8028",5069559,10300,"서울특별시 광진구 구의동 591-22 강변리버빌",8,0,127.090832,37.535792,"무료",8
